orbabanget	9	9	10	10	2	-9	6	15	0	0	0	0	1	0	0	0
MeganFoxWatch	1	1	2	13	3	-13	1	278	0.028777	2	0	0	3	0	0	0
greekdraft	4	6	7	10	2	-17	3	13	0	0	0	0	1	0	0	0
iloveign	1	1	55	8	3	-3	1	40	0.1	1	0	0	2	0	0	0
Lost%%	1	1	2	6	1	-4	1	214	0.476636	43	0.00330033	0.00935097	48	1	35875	35875
HappyBdayArchie	33	52	56	15	4	-10	27	17	0.352941	2	0	0	3	0	0	0
conservativebible	3	4	5	17	2	-2	2	19	1.05263	5	0.166667	0.0403509	8	1	5928	5928
weloverob!	4	4	6	10	3	-1	1	134	0.149254	1	0	0	2	0	0	0
originalgifts	1	1	2	13	2	-13	1	77	0.103896	1	0	0	2	2	12774	16991
legalbud	1	1	1	8	2	-5	1	147	0	0	0	0	1	0	0	0
sawityowit	5	5	367	10	3	-11	5	30	1	9	0.258621	0.160185	11	2	8473	13535
Pellan	1	1	2	6	1	-21	1	121	0.14876	2	0	0	3	0	0	0
ssinvite	1	1	2	8	1	-17	1	166	0.795181	18	0.168067	0.051681	42	1	5775	5775
HappyBdayNickJ	9	9	10	14	4	-2	5	17	0	0	0	0	1	0	0	0
JoeShowMeUrTonsils	1	1	2	18	5	-24	1	113	0.212389	2	0	0	3	0	0	0
concursonacion	1	1	2	14	2	-11	1	159	7.69811	63	0.359841	0.26469	124	0	0	0
whydowhitepeople	1	1	2	16	4	-13	1	161	0.21118	3	0.545455	0.0372671	5	0	0	0
crosstalk	46	47	48	9	2	-22	46	61	2.88525	22	0.258699	0.255652	42	4	33841	58205
InKripkeWeTrust	9	10	11	15	4	-16	1	20	0	0	0	0	1	0	0	0
chanannose	1	1	2	10	2	-2	1	111	0.882883	42	0.0103211	0.03906	46	1	154348	154348
noloe	13	15	34	5	1	-9	5	14	0.571429	4	0	0	5	0	0	0
chetanblocks	2	2	3	12	2	-9	1	86	3.09302	17	0.250804	0.196866	56	0	0	0
NYTFail	1	1	2	7	2	-19	1	146	0.452055	8	0.157895	0.0290117	12	3	10394	24360
pinkinconcert	1	1	2	13	2	-6	1	217	0.894009	75	0.00746269	0.0531134	83	3	1269341	1285138
letter2myex	23	23	25	11	4	-17	22	22	0.0909091	1	0	0	2	0	0	0
