3	10
18	10
2	10
328	34
9	11
2	10
4	10
5	10
3	10
15	25
3	10
10	10
4	10
2	10
1	10
35	37
76	10
1	10
1	10
11	10
11	10
24	10
3	10
1	10
24	10
51	28
1	10
26	41
1	10
8	10
2	11
3	10
13	10
219	67
29	45
1	10
22	34
24	10
1	10
14	13
24	38
1	10
13	10
27	20
1	10
1	10
2	10
188	245
1	10
1	10
1	10
4	10
2	10
174	28
47	10
3	10
1	10
1	10
9	17
1	10
6	13
1	10
1	10
52	43
4	11
4	10
1	10
1	10
5	15
1	10
1	10
9	15
1	10
1	10
1	10
47	67
10	10
1	10
15	15
2	10
1	10
1	10
23	37
7	18
1	10
1	10
8	18
1	7
5	10
20	12
1	7
2	9
419	30
68	29
11	17
145	154
35	38
178	9
27	31
791	7
26	42
1	7
10	15
1	7
1	7
3	7
558	259
2	7
12	14
3	9
6	12
35	7
1	7
11	18
1	7
1	7
8	8
3	9
3	8
91	26
1	7
216	112
13	20
1	7
1	7
1	7
2	7
1	7
1	7
205	40
3	78
1	8
1	7
1	7
9	10
25	25
5	7
464	114
2	7
1	7
32	32
24	24
47	55
1	7
2	7
1	7
319	348
1	7
12	7
84	55
1	7
2	8
5	12
1	7
73	82
40	39
1	7
504	433
2	8
1	7
2	8
1	7
1	12
1	7
2	7
1	7
22	29
1	7
1	7
323	81
2	7
1	7
14	8
1	7
2	11
1	11
4	11
38	11
1	11
3	11
1	11
10	11
1	11
1	11
11	11
10	23
1	11
2	11
3	11
1	11
93	46
38	47
1	11
2	11
38	51
1	11
106	12
3	11
5	12
1	11
1	11
1	11
5	11
2	11
4	11
3	11
6	11
4	11
2	11
2	11
1	11
4	12
2	11
6	11
3	11
1	11
3	11
3	11
1	11
1	11
1	11
2	11
3	11
5	11
1	11
7	11
3	11
69	11
25	40
6	11
1	11
2	11
3	11
2	11
2	11
20	21
2	11
7	11
66	11
2	11
5	15
404	574
3	11
2	11
1	11
13	28
1	11
2	11
1	11
3	11
42	29
1	11
10	11
1	11
41	54
3	12
9	14
1	11
2	11
190	271
2	11
10	14
3	12
4	12
6	12
1	12
1	12
34	41
2	12
5	12
24	29
10	21
5	15
2	12
6	15
1	12
1	12
1	12
5	12
1	12
2	12
1	12
1	12
6	17
5	12
8	19
1	12
1	12
5	12
2	12
2	12
1	12
2	12
1	12
1	12
1	12
1	12
6	14
26	36
2	12
3	14
17	30
2	12
1	12
2	12
1	12
2	12
21	15
1	12
1	12
3	12
1	12
2	12
23	40
1	12
1	12
4	12
1	12
1	12
4	15
1	12
60	12
32	40
5	12
37	12
27	31
4	12
5	14
2	12
1	12
1	12
1	12
4	16
3	12
6	12
2	12
1	12
3	12
2	12
9	22
7	12
1	12
18	33
3	15
22	12
1	12
5	12
1	12
3	12
11	12
1	12
1	12
1	12
3	12
1	12
23	40
3	15
1	12
2	12
6	12
1	12
25	43
99	136
1	12
1	12
1	12
25	36
15	36
4	15
2	12
3	12
1	12
1	12
1	12
5	16
1	12
2	12
6	17
2	12
2	12
3	15
2	12
1	12
2	12
10	24
3	12
3	12
9	21
2	12
1	12
17	12
2	12
2	12
1	12
1	12
1	12
20	12
23	38
1	12
2	12
3	12
4	12
26	12
7	12
3	12
171	19
67	90
3	12
3	12
2	12
13	34
4	12
2	12
3	12
3	12
3	12
1	12
4	13
24	12
16	16
5	15
2	12
1	12
1	12
23	40
3	12
1	12
1	12
2	12
3	12
3	12
1	12
3	12
1	12
